,addressmerged
1,Schüruferstraße+244+44269+Dortmund+germany
2,Am+Dimberg+4+44229+Dortmund+germany
3,Birkenhof+4+99427+Weimar+germany
4,Robert-Gernhardt-Platz+3+37073+Göttingen+germany
5,Bömelburgweg+14+22111+Hamburg+germany
6,Zum+Bahnhof+7+19055+Schwerin+germany
7,Schulstr.+2+65479+Groß+Gerau+germany
8,Birkenweg+6+02708+Görlitz+germany
9,Klixer+Str.+6+02627+Bautzen+germany
10,Regensburger+Straße+42+06132+Halle+Saale+germany
11,Gottfried-Keller+Str.+19+15517+Oder+Spree+germany
12,Friedrich+Engels+Straße+14+09337+Zwickau+germany
13,Heddernheimer+Landstraße+00+60439+Frankfurt+am+Main+germany
14,Kieler+Straße+25+19057+Schwerin+germany
15,Stadlerstraße++21+09126+Chemnitz+germany
16,Börnestraße+11+13086+Berlin+germany
17,Lehbreite+10+06311+Mansfeld+Südharz+germany
18,Kurfürstenstr.+25+65439+Main+Taunus+germany
19,Marbachweg+277+60320+Frankfurt+am+Main+germany
20,Cronenberger+Straße+74+42119+Wuppertal+germany
21,Südstraße+48+04178+Leipzig+germany
22,Stallschreiberstraße+27+10179+Berlin+germany
23,Schellingstraße+2+07548+Gera+germany
24,Heidestraße+19+10557+Berlin+germany
25,Apollostraße+15+09111+Chemnitz+germany
26,Danziger+Straße+7+18311+Nordvorpommern+germany
27,Paul-Gruner-Straße+4+09120+Chemnitz+germany
28,Wilhelmstr.++22+45468+Mülheim+an+der+Ruhr+germany
29,Am+Schlemmerich+9+52249+Aachen+germany
30,Weinbergstraße+62+76530+Baden+Baden+germany
31,Marienstraße+28+78548+Tuttlingen+germany
32,Feilenhauerweg+4+42859+Remscheid+germany
33,Arthur-Weber-Weg+8+61231+Wetteraukreis+germany
34,Hartigstrasse+1+01127+Dresden+germany
35,Weserstr.+1b+34125+Kassel+germany
36,Waldkiefernring+5+12527+Berlin+germany
37,Steinkaulstraße+7-9+52070+Aachen+germany
38,Johannistorstrasse+23+34414+Höxter+germany
39,Huberstr.+28+33607+Bielefeld+germany
40,Am+Oberen+Luisenpark+22+68165+Mannheim+germany
41,Grillparzerstr.+91+60320+Frankfurt+am+Main+germany
42,Christinenstr.+6+14772+Brandenburg+an+der+Havel+germany
43,Lessingstraße+22+04651+Leipzig+germany
44,Bärensteinstr.+42+12685+Berlin+germany
45,Schreckerstraße+32+04838+Nordsachsen+germany
46,Altenderner+Straße+141+44329+Dortmund+germany
47,Poppitzer+Straße+25+01589+Meißen+germany
